,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,Bad,83.0,176,8,70.0,8,0,0,100.0,-7,7,8,8,3,50.0,0,0,0,38.0,91.0,2.0,2.0,0,80.0
1,Bad,64.0,25,1,9.0,5,1,1,100.0,-7,7,8,7,4,17.0,0,1,1,8.0,-8.0,2.0,1.0,0,75.0
2,Bad,73.0,229,13,122.0,16,0,0,88.0,3,4,6,17,0,41.0,0,0,0,40.0,56.0,2.0,2.0,0,100.0
3,Good,68.0,272,4,89.0,31,0,0,100.0,-7,7,8,33,2,27.0,0,0,0,90.0,90.0,8.0,4.0,4,86.0
4,Bad,68.0,147,5,76.0,30,2,0,72.0,40,6,5,32,3,22.0,1,3,3,48.0,61.0,4.0,2.0,1,67.0
5,Bad,72.0,120,3,51.0,16,1,0,94.0,80,6,5,19,2,53.0,-7,3,3,44.0,81.0,5.0,9.0,0,100.0
6,Bad,87.0,318,31,99.0,12,0,0,100.0,-7,7,8,12,0,25.0,0,0,0,0.0,52.0,0.0,2.0,0,25.0
7,Bad,62.0,295,7,124.0,55,0,0,95.0,8,4,6,57,2,39.0,5,0,0,32.0,48.0,6.0,4.0,2,57.0
8,Good,-9.0,-9,-9,-9.0,-9,-9,-9,-9.0,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9.0,-9.0,-9,-9.0
9,Bad,61.0,105,8,53.0,44,1,0,89.0,6,4,5,45,3,36.0,0,7,7,39.0,60.0,5.0,4.0,1,64.0
10,Bad,57.0,81,2,47.0,13,1,1,79.0,13,6,6,15,1,64.0,0,1,1,48.0,19.0,5.0,4.0,0,100.0
11,Good,85.0,150,7,68.0,19,0,0,100.0,-7,7,8,19,1,58.0,-8,0,0,19.0,55.0,2.0,6.0,0,80.0
